Country	Area_km	Area_mi	Population	km_PopDens	mi_PopDens	Date
Macau (China)	32.90	13.00	696100.00	21158.05	54799.00	September 30, 2019
Monaco	2.02	0.78	38300.00	18960.40	49107.00	December 31, 2018
Singapore	722.50	279.00	5703600.00	7894.26	20446.00	July 1, 2019
Hong Kong (China)	1106.00	427.00	7500700.00	6781.83	17565.00	December 31, 2019
Gibraltar (United Kingdom)	6.80	2.60	33701.00	4956.03	12836.00	July 1, 2019
Bahrain	778.00	300.00	1543300.00	1982.91	5136.00	July 1, 2019
Malta	316.00	122.00	514564.00	1633.54	4231.00	July 10, 2020
Maldives	298.00	115.00	374775.00	1257.63	3257.00	December 31, 2018
Bermuda (United Kingdom)	52.00	20.00	64027.00	1226.52	3177.00	July 1, 2019
Sint Maarten (Netherlands)	34.00	13.00	42876.00	1261.00	3266.00	January 1, 2019
Bangladesh	143998.00	55598.00	170256630.00	1182.00	3062.00	March 3, 2021
Vatican City	0.49	0.19	453.00	924.49	2394.00	February 1, 2019
Jersey (British Crown Dependency)	116.00	45.00	104200.00	898.28	2327.00	December 31, 2016
Palestine	6020.00	2324.00	4976684.00	826.69	2141.00	July 1, 2019
Guernsey (British Crown Dependency)	78.00	30.00	62723.00	804.14	2083.00	March 31, 2016
Mayotte (France)	374.00	144.00	256518.00	685.88	1776.00	September 5, 2017
Lebanon	10452.00	4036.00	6855713.00	672.06	1741.00	July 1, 2019
Barbados	430.00	166.00	287025.00	667.50	1729.00	July 1, 2019
Saint Martin (France)	53.20	21.00	35334.00	664.17	1720.00	January 1, 2017
Taiwan	36197.00	13976.00	23604265.00	652.11	1689.00	January 31, 2020
Mauritius	2040.00	788.00	1265577.00	620.38	1607.00	July 1, 2018
Aruba (Netherlands)	180.00	69.00	112309.00	624.00	1616.00	January 1, 2019
San Marino	61.00	24.00	34641.00	567.89	1471.00	April 30, 2019
Nauru	21.00	8.00	11200.00	533.33	1381.00	July 1, 2020
South Korea	100210.00	38691.00	51780579.00	516.72	1338.00	July 1, 2020
Saint Barthélemy (France)	21.00	8.00	9961.00	474.33	1229.00	January 1, 2017
Rwanda	26338.00	10169.00	12374397.00	469.83	1217.00	July 1, 2019
Comoros	1861.00	719.00	873724.00	469.49	1216.00	July 1, 2019
Netherlands	41526.00	16033.00	17568281.00	423.00	1096.00	March 3, 2021
Israel	22072.00	8522.00	9318940.00	422.00	1094.00	March 3, 2021
Haiti	27065.00	10450.00	11403000.00	421.32	1091.00	July 1, 2020
India	3287263.00	1269219.00	1352642280.00	411.48	1066.00	January 1, 2019
Burundi	27816.00	10740.00	11215578.00	403.21	1044.00	July 1, 2020
Tuvalu	26.00	10.00	10300.00	396.15	1026.00	July 1, 2020
Belgium	30689.00	11849.00	11530853.00	375.73	973.00	July 1, 2020
Philippines	300000.00	115831.00	109905056.00	366.00	949.00	March 3, 2021
Curaçao (Netherlands)	444.00	171.00	158665.00	357.35	926.00	January 1, 2019
Puerto Rico (United States)	9104.00	3515.00	3195153.00	350.96	909.00	July 1, 2018
Réunion (France)	2503.70	967.00	853659.00	340.96	883.00	January 1, 2017
Japan	377975.00	145937.00	126010000.00	333.38	863.00	February 1, 2020
Sri Lanka	65610.00	25332.00	21803000.00	332.31	861.00	July 1, 2019
Martinique (France)	1128.00	436.00	371246.00	329.12	852.00	January 1, 2018
Guam (United States)	541.00	209.00	175200.00	323.84	839.00	July 1, 2019
El Salvador	21040.00	8124.00	6704864.00	318.67	825.00	July 1, 2019
Grenada	344.00	133.00	108825.00	316.35	819.00	July 1, 2019
Marshall Islands	181.00	70.00	55900.00	308.84	800.00	July 1, 2020
United States Virgin Islands(United States)	352.00	136.00	104909.00	298.04	772.00	July 1, 2019
Saint Lucia	617.00	238.00	180454.00	292.47	757.00	July 1, 2019
